year,lat,lon,temperature_c,scenario,temperature_f,anomaly_c,anomaly_f
2020,34.3979057591623,241.25,19.936304,ssp126,67.885345,1.0531502,1.8956703
2021,34.3979057591623,241.25,20.755667,ssp126,69.3602,1.8725128,3.370523
2022,34.3979057591623,241.25,19.73651,ssp126,67.52572,0.8533554,1.5360397
2023,34.3979057591623,241.25,20.897192,ssp126,69.614944,2.014038,3.6252685
2024,34.3979057591623,241.25,20.241745,ssp126,68.43514,1.3585911,2.445464
2025,34.3979057591623,241.25,20.543982,ssp126,68.979164,1.6608276,2.9894898
2026,34.3979057591623,241.25,19.77854,ssp126,67.60137,0.89538574,1.6116943
2027,34.3979057591623,241.25,20.976158,ssp126,69.75709,2.0930042,3.7674077
2028,34.3979057591623,241.25,20.802092,ssp126,69.44376,1.9189377,3.4540877
2029,34.3979057591623,241.25,20.750063,ssp126,69.35011,1.866909,3.3604362
2030,34.3979057591623,241.25,19.507393,ssp126,67.113304,0.62423897,1.1236302
2031,34.3979057591623,241.25,19.429678,ssp126,66.97342,0.54652405,0.9837433
2032,34.3979057591623,241.25,20.430107,ssp126,68.77419,1.5469532,2.7845159
2033,34.3979057591623,241.25,20.074,ssp126,68.1332,1.1908455,2.1435218
2034,34.3979057591623,241.25,20.965187,ssp126,69.737335,2.0820332,3.7476597
2035,34.3979057591623,241.25,20.59487,ssp126,69.07076,1.7117157,3.0810883
2036,34.3979057591623,241.25,20.89607,ssp126,69.61293,2.0129166,3.6232498
2037,34.3979057591623,241.25,20.448591,ssp126,68.807465,1.5654373,2.8177872
2038,34.3979057591623,241.25,20.47273,ssp126,68.850914,1.5895767,2.861238
2039,34.3979057591623,241.25,20.080803,ssp126,68.14545,1.197649,2.1557682
2040,34.3979057591623,241.25,20.737358,ssp126,69.32725,1.8542042,3.3375676
2041,34.3979057591623,241.25,19.824049,ssp126,67.68329,0.9408951,1.6936111
2042,34.3979057591623,241.25,22.38679,ssp126,72.29622,3.5036354,6.306544
2043,34.3979057591623,241.25,20.894796,ssp126,69.610634,2.0116425,3.6209564
2044,34.3979057591623,241.25,20.59854,ssp126,69.07737,1.7153854,3.0876937
2045,34.3979057591623,241.25,20.247335,ssp126,68.445206,1.3641815,2.4555268
2046,34.3979057591623,241.25,20.359962,ssp126,68.647934,1.4768085,2.6582553
2047,34.3979057591623,241.25,20.43305,ssp126,68.77949,1.5498962,2.7898133
2048,34.3979057591623,241.25,20.52078,ssp126,68.93741,1.6376266,2.947728
2049,34.3979057591623,241.25,21.384966,ssp126,70.492935,2.501812,4.5032616
2050,34.3979057591623,241.25,20.63054,ssp126,69.13497,1.7473869,3.1452966
2051,34.3979057591623,241.25,20.430983,ssp126,68.77577,1.5478287,2.7860916
2052,34.3979057591623,241.25,21.129005,ssp126,70.03221,2.2458515,4.042533
2053,34.3979057591623,241.25,21.214172,ssp126,70.18551,2.3310184,4.195833
2054,34.3979057591623,241.25,20.002039,ssp126,68.00367,1.118885,2.013993
2055,34.3979057591623,241.25,20.492884,ssp126,68.88719,1.6097298,2.8975136
2056,34.3979057591623,241.25,21.11805,ssp126,70.01249,2.2348957,4.0228124
2057,34.3979057591623,241.25,20.63756,ssp126,69.147606,1.754406,3.1579309
2058,34.3979057591623,241.25,21.478159,ssp126,70.66069,2.595005,4.671009
2059,34.3979057591623,241.25,19.872652,ssp126,67.770775,0.98949814,1.7810967
2060,34.3979057591623,241.25,20.711441,ssp126,69.280594,1.8282871,3.290917
2061,34.3979057591623,241.25,20.312492,ssp126,68.562485,1.4293385,2.5728092
2062,34.3979057591623,241.25,18.849327,ssp126,65.92879,-0.033826828,-0.06088829
2063,34.3979057591623,241.25,19.480751,ssp126,67.06535,0.5975971,1.0756748
2064,34.3979057591623,241.25,20.382637,ssp126,68.68874,1.4994831,2.6990695
2065,34.3979057591623,241.25,21.069372,ssp126,69.924866,2.1862183,3.9351928
2066,34.3979057591623,241.25,20.142418,ssp126,68.256355,1.259264,2.2666752
2067,34.3979057591623,241.25,20.628534,ssp126,69.13136,1.7453804,3.1416848
2068,34.3979057591623,241.25,20.30783,ssp126,68.55409,1.4246769,2.5644183
2069,34.3979057591623,241.25,20.842604,ssp126,69.516685,1.9594498,3.5270095
2070,34.3979057591623,241.25,19.59913,ssp126,67.278435,0.7159767,1.288758
2071,34.3979057591623,241.25,20.935106,ssp126,69.68319,2.0519524,3.6935143
2072,34.3979057591623,241.25,20.297422,ssp126,68.53536,1.4142685,2.5456834
2073,34.3979057591623,241.25,20.039907,ssp126,68.07183,1.1567535,2.0821564
2074,34.3979057591623,241.25,21.183556,ssp126,70.1304,2.3004017,4.140723
2075,34.3979057591623,241.25,20.146082,ssp126,68.26295,1.262928,2.2732704
2076,34.3979057591623,241.25,21.10449,ssp126,69.98808,2.2213364,3.9984055
2077,34.3979057591623,241.25,21.112936,ssp126,70.00328,2.229782,4.013608
2078,34.3979057591623,241.25,20.40512,ssp126,68.72922,1.5219669,2.7395406
2079,34.3979057591623,241.25,20.131784,ssp126,68.23721,1.2486305,2.247535
2080,34.3979057591623,241.25,21.048014,ssp126,69.88643,2.1648598,3.8967476
2081,34.3979057591623,241.25,21.583643,ssp126,70.850555,2.700489,4.8608804
2082,34.3979057591623,241.25,21.16448,ssp126,70.09606,2.2813263,4.106387
